2025-07-17 11:02:50 INFO  TestCase_Final:136 - Test Case 9 started.
2025-07-17 11:02:51 INFO  TestCase_Final:161 - Test Case 10 started.
2025-07-17 11:03:01 INFO  TestCase_Final:183 - Test Case 10 completed.
2025-07-17 11:03:01 INFO  TestCase_Final:188 - Test Case 11 completed.
2025-07-17 11:03:11 INFO  TestCase_Final:209 - Test Case 11 completed.
2025-07-17 11:03:11 INFO  TestCase_Final:210 - ******* Ending the Test Cases  ***********
2025-07-17 11:03:11 INFO  TestCase_Final:156 - Test Case 9 completed.
2025-07-17 11:08:33 INFO  TestCase_Final:27 - ******* Starting the Test Cases  ***********
2025-07-17 11:08:33 INFO  TestCase_Final:28 - Test Case 1 started.
2025-07-17 11:08:33 INFO  TestCase_Final:29 - Clicking on the New Bikes Section.
2025-07-17 11:08:36 INFO  TestCase_Final:34 - Test Case 1 completed.
2025-07-17 11:08:36 INFO  TestCase_Final:40 - Test Case 2 started.
2025-07-17 11:08:45 INFO  TestCase_Final:49 - Test Case 2 completed.
2025-07-17 11:08:45 INFO  TestCase_Final:55 - Test Case 3 started.
2025-07-17 11:08:55 INFO  TestCase_Final:65 - Test Case 3 completed.
2025-07-17 11:08:55 INFO  TestCase_Final:71 - Test Case 4 started.
2025-07-17 11:08:57 INFO  TestCase_Final:83 - Test Case 4 completed.
2025-07-17 11:08:57 INFO  TestCase_Final:89 - Test Case 5 started.
2025-07-17 11:09:00 INFO  TestCase_Final:95 - Test Case 5 completed.
2025-07-17 11:09:00 INFO  TestCase_Final:101 - Test Case 6 started.
2025-07-17 11:09:01 INFO  TestCase_Final:106 - Test Case 6 completed.
2025-07-17 11:09:01 INFO  TestCase_Final:112 - Test Case 7 started.
2025-07-17 11:09:02 INFO  TestCase_Final:117 - Test Case 7 completed.
2025-07-17 11:09:02 INFO  TestCase_Final:123 - Test Case 8 started.
2025-07-17 11:09:02 INFO  TestCase_Final:128 - Test Case 8 completed.
2025-07-17 11:09:03 INFO  TestCase_Final:136 - Test Case 9 started.
2025-07-17 11:09:06 INFO  TestCase_Final:162 - Test Case 10 started.
2025-07-17 11:09:19 INFO  TestCase_Final:184 - Test Case 10 completed.
2025-07-17 11:09:19 INFO  TestCase_Final:190 - Test Case 11 completed.
2025-07-17 11:09:20 INFO  TestCase_Final:211 - Test Case 11 completed.
2025-07-17 11:09:20 INFO  TestCase_Final:212 - ******* Ending the Test Cases  ***********
2025-07-17 11:09:20 INFO  TestCase_Final:156 - Test Case 9 completed.
2025-07-17 11:09:20 INFO  TestCase_Final:136 - Test Case 9 started.
2025-07-17 11:09:24 INFO  TestCase_Final:162 - Test Case 10 started.
2025-07-17 11:09:25 INFO  TestCase_Final:184 - Test Case 10 completed.
2025-07-17 11:09:25 INFO  TestCase_Final:190 - Test Case 11 completed.
2025-07-17 11:09:35 INFO  TestCase_Final:211 - Test Case 11 completed.
2025-07-17 11:09:35 INFO  TestCase_Final:212 - ******* Ending the Test Cases  ***********
2025-07-17 11:09:35 INFO  TestCase_Final:156 - Test Case 9 completed.
2025-07-17 11:10:19 INFO  TestCase_Final:27 - ******* Starting the Test Cases  ***********
2025-07-17 11:10:19 INFO  TestCase_Final:28 - Test Case 1 started.
2025-07-17 11:10:19 INFO  TestCase_Final:29 - Clicking on the New Bikes Section.
2025-07-17 11:10:21 INFO  TestCase_Final:34 - Test Case 1 completed.
2025-07-17 11:10:21 INFO  TestCase_Final:40 - Test Case 2 started.
2025-07-17 11:10:31 INFO  TestCase_Final:49 - Test Case 2 completed.
2025-07-17 11:10:31 INFO  TestCase_Final:55 - Test Case 3 started.
2025-07-17 11:10:40 INFO  TestCase_Final:65 - Test Case 3 completed.
2025-07-17 11:10:40 INFO  TestCase_Final:71 - Test Case 4 started.
2025-07-17 11:10:42 INFO  TestCase_Final:83 - Test Case 4 completed.
2025-07-17 11:10:42 INFO  TestCase_Final:89 - Test Case 5 started.
2025-07-17 11:10:59 INFO  TestCase_Final:136 - Test Case 9 started.
2025-07-17 11:11:03 INFO  TestCase_Final:162 - Test Case 10 started.
2025-07-17 11:11:17 INFO  TestCase_Final:184 - Test Case 10 completed.
2025-07-17 11:11:17 INFO  TestCase_Final:190 - Test Case 11 completed.
